autoritario/a	strict
chido/a	cool
coquetear	to flirt
cariñoso/a	affectionate
emocionado/a	excited
guapo/a	handsome
odiar	to hate
mentiroso/a	liar
pasarlo bien	to have a good time
pasarlo mal	to have a bad time
falso/a	insincere
agobiado/a	overwhelmed
alto/a	tall
la pareja	partner; couple
soltero/a	single
discutir	argue
viejo/vieja	old
casado/a	married
tímido/a	shy
la cita	date
deprimido/a	depressed
libreta	notebook
impresionar	to impress
tranquilo	calm
el divorcio	divorce
